///////////////////////////////////////////////////////////////////////////////////
///                                                                             ///
///                                                                             ///
///              QQQ       UUU  UUU    KKK   KK    EEEEEEE    TTTTTTT           ///
///             Q   Q       u    U      K   K       E    E    T  T  T           ///
///            Q     Q      U    U      K  K        E  E         T              ///
///            Q     Q      U    U      KKK         EEEE         T              ///
///            Q QQQ Q      U    U      K  K        E  E         T              ///
///             Q   Q       U    U      K   K       E    E       T              ///
///              QQQ QQ      UUUU      KKK   KK    EEEEEEE      TTT             ///
///                                                                             ///
///                      Quantum Computing Simulator Ver 0.4 dev                ///
///                                                                             ///
///        Copyright 2019-2021                                                  ///
///        QC Project Team, Ten-no Research Group                               ///
///        All rights Reserved.                                                 ///
///                                                                             ///
///////////////////////////////////////////////////////////////////////////////////
Start at 2021-02-27 17:33:06.037640
+-------------+
|  Job #   1  |
+-------------+
8 processes  x  2 threads  =  Total 16 cores
Performing QITE for heisenberg Hamiltonian
Initial configuration: |0101>
Convergence criteria:  ftol = 1E-09 
Exact QITE: Pauli operator group size = 256
  0.00:  E  = -4.000000000000  CPU Time =  0.00
  0.01:  E  = -4.307149312380  CPU Time =  0.17
  0.02:  E  = -4.589149701392  CPU Time =  0.16
  0.03:  E  = -4.846990185063  CPU Time =  0.16
  0.04:  E  = -5.082103248986  CPU Time =  0.16
  0.05:  E  = -5.296196838992  CPU Time =  0.16
  0.06:  E  = -5.491113178294  CPU Time =  0.16
  0.07:  E  = -5.668718057716  CPU Time =  0.16
  0.08:  E  = -5.830819920945  CPU Time =  0.16
  0.09:  E  = -5.979115421088  CPU Time =  0.16
  0.10:  E  = -6.115156863617  CPU Time =  0.16
  0.11:  E  = -6.240336675430  CPU Time =  0.16
  0.12:  E  = -6.355884373492  CPU Time =  0.16
  0.13:  E  = -6.462872151631  CPU Time =  0.16
  0.14:  E  = -6.562225954524  CPU Time =  0.17
  0.15:  E  = -6.654739637734  CPU Time =  0.15
  0.16:  E  = -6.741090456286  CPU Time =  0.16
  0.17:  E  = -6.821854656181  CPU Time =  0.16
  0.18:  E  = -6.897522362181  CPU Time =  0.16
  0.19:  E  = -6.968511272227  CPU Time =  0.16
  0.20:  E  = -7.035178900341  CPU Time =  0.16
  0.21:  E  = -7.097833272721  CPU Time =  0.16
  0.22:  E  = -7.156742091745  CPU Time =  0.16
  0.23:  E  = -7.212140452731  CPU Time =  0.16
  0.24:  E  = -7.264237239566  CPU Time =  0.16
  0.25:  E  = -7.313220345802  CPU Time =  0.16
  0.26:  E  = -7.359260874112  CPU Time =  0.16
  0.27:  E  = -7.402516463761  CPU Time =  0.16
  0.28:  E  = -7.443133886547  CPU Time =  0.16
  0.29:  E  = -7.481251038943  CPU Time =  0.18
  0.30:  E  = -7.516998443864  CPU Time =  0.15
  0.31:  E  = -7.550500360654  CPU Time =  0.16
  0.32:  E  = -7.581875587507  CPU Time =  0.16
  0.33:  E  = -7.611238027032  CPU Time =  0.16
  0.34:  E  = -7.638697073431  CPU Time =  0.16
