///////////////////////////////////////////////////////////////////////////////////
///                                                                             ///
///                                                                             ///
///              QQQ       UUU  UUU    KKK   KK    EEEEEEE    TTTTTTT           ///
///             Q   Q       u    U      K   K       E    E    T  T  T           ///
///            Q     Q      U    U      K  K        E  E         T              ///
///            Q     Q      U    U      KKK         EEEE         T              ///
///            Q QQQ Q      U    U      K  K        E  E         T              ///
///             Q   Q       U    U      K   K       E    E       T              ///
///              QQQ QQ      UUUU      KKK   KK    EEEEEEE      TTT             ///
///                                                                             ///
///                      Quantum Computing Simulator Ver Beta                   ///
///                                                                             ///
///        Copyright 2019-2020                                                  ///
///        QC Project Team, Ten-no Research Group                               ///
///        All rights Reserved.                                                 ///
///                                                                             ///
///////////////////////////////////////////////////////////////////////////////////
Start at 2021-02-02 17:45:43.028283
+-------------+
|  Job #   1  |
+-------------+
8 processes  x  4 threads  =  Total 32 cores

 *** Geometry **************************
  O       0.0000     0.0000     0.0000
 ***************************************

E[FCI] = -74.80942868583296
E[HF]  = -74.65581295360302
Spin-Projection is not yet available for 2-upccgsd.
Projecting to spin space :  s = 0.0    Ms = 0 
             Grid points :  (alpha,beta,gamma) = (4,2,0)
Performing VQE for 2-upccgsd
Number of VQE parameters: 84
Initial configuration: |00000000001111>
Theta list = random
Circuit order: Exp[T1] Exp[T2] |0>
    1:  E[2-UpCCGSD] = -74.670783623391  <S**2> = 0.000000000000000  CPU Time =  3.93 (0.09 / step)
    2:  E[2-UpCCGSD] = -74.675433360776  <S**2> =-0.000000000000001  CPU Time =  1.29 (0.09 / step)
    3:  E[2-UpCCGSD] = -74.678590603133  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
    4:  E[2-UpCCGSD] = -74.690199101750  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
    5:  E[2-UpCCGSD] = -74.696949876720  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
    6:  E[2-UpCCGSD] = -74.698585989852  <S**2> = 0.000000000000001  CPU Time =  1.29 (0.09 / step)
    7:  E[2-UpCCGSD] = -74.700067247694  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
    8:  E[2-UpCCGSD] = -74.702627207622  <S**2> = 0.000000000000001  CPU Time =  1.29 (0.09 / step)
    9:  E[2-UpCCGSD] = -74.704721289575  <S**2> = 0.000000000000007  CPU Time =  2.50 (0.09 / step)
